date_time,temperature,humidity
2023-02-25 00:18:13,17.5,69.7
2023-02-25 00:38:13,17.5,69.7
2023-02-25 00:58:18,17.4,70.2
2023-02-25 01:18:23,17.0,70.3
2023-02-25 01:38:24,17.4,70.4
2023-02-25 01:58:26,17.4,70.8
2023-02-25 02:18:27,17.3,70.8
2023-02-25 02:38:27,17.2,70.8
2023-02-25 02:58:30,17.2,70.9
2023-02-25 03:18:33,17.2,70.9
2023-02-25 03:38:33,17.2,71.0
2023-02-25 03:58:36,17.1,71.2
2023-02-25 04:18:39,17.0,71.2
2023-02-25 04:38:41,17.1,71.0
2023-02-25 04:58:44,17.0,71.3
2023-02-25 05:18:47,17.0,71.0
2023-02-25 05:38:50,17.0,71.1
2023-02-25 05:58:53,17.0,71.2
2023-02-25 06:18:55,17.0,71.2
2023-02-25 06:39:03,17.0,71.1
2023-02-25 06:59:08,17.0,71.1
2023-02-25 07:19:11,16.9,71.4
2023-02-25 07:39:13,16.9,71.4
2023-02-25 07:59:16,16.9,71.5
2023-02-25 08:19:24,16.8,71.5
2023-02-25 08:39:24,16.8,71.5
2023-02-25 08:59:34,16.8,71.6
2023-02-25 09:19:37,16.8,71.6
2023-02-25 09:39:37,16.7,71.6
2023-02-25 09:59:38,16.8,71.4
2023-02-25 10:19:38,17.0,71.8
2023-02-25 10:39:41,17.0,72.6
2023-02-25 10:59:46,16.5,64.5
2023-02-25 11:19:49,16.8,69.6
2023-02-25 11:39:49,16.9,69.6
2023-02-25 12:00:01,16.4,63.3
2023-02-25 12:20:09,16.8,68.6
2023-02-25 12:40:12,16.9,68.8
2023-02-25 13:00:19,17.0,67.6
2023-02-25 13:20:22,17.2,67.1
2023-02-25 13:40:22,17.2,67.2
2023-02-25 14:00:39,17.6,66.0
2023-02-25 14:20:44,17.8,64.6
2023-02-25 14:40:47,17.8,64.2
2023-02-25 15:00:55,17.8,59.0
2023-02-25 15:20:58,17.8,56.5
2023-02-25 15:41:03,17.8,57.0
2023-02-25 16:01:06,18.0,55.9
