date_time,temperature,humidity
2023-02-21 00:18:11,17.1,67.1
2023-02-21 00:38:11,17.0,67.1
2023-02-21 00:58:12,17.1,67.2
2023-02-21 01:18:14,17.0,67.1
2023-02-21 01:38:17,17.0,67.0
2023-02-21 01:58:22,17.0,66.9
2023-02-21 02:18:25,17.0,67.7
2023-02-21 02:38:25,17.0,67.7
2023-02-21 02:58:28,16.8,68.1
2023-02-21 03:18:31,16.7,68.1
2023-02-21 03:38:34,16.6,68.2
2023-02-21 03:58:41,16.6,68.1
2023-02-21 04:18:51,16.5,68.3
2023-02-21 04:39:01,16.4,68.5
2023-02-21 04:59:11,16.4,68.7
2023-02-21 05:19:11,16.4,68.6
2023-02-21 05:39:14,16.4,68.5
2023-02-21 05:59:17,16.3,68.2
2023-02-21 06:19:24,16.3,68.1
2023-02-21 06:39:32,16.2,67.9
2023-02-21 06:59:44,16.2,67.9
2023-02-21 07:19:58,16.2,67.6
2023-02-21 07:40:01,16.1,67.5
2023-02-21 08:00:06,16.1,67.5
2023-02-21 08:20:07,16.1,67.5
2023-02-21 08:40:07,16.2,68.5
2023-02-21 09:00:07,16.1,68.0
2023-02-21 09:20:10,16.0,67.6
2023-02-21 09:40:18,16.1,67.7
2023-02-21 10:00:18,16.1,67.6
2023-02-21 10:20:19,14.7,58.5
2023-02-21 10:40:28,14.8,60.2
2023-02-21 11:00:34,15.2,60.7
2023-02-21 11:20:36,15.3,61.4
2023-02-21 11:40:39,15.4,62.0
2023-02-21 12:00:42,15.5,61.6
2023-02-21 12:20:45,15.6,62.0
2023-02-21 12:41:04,15.7,62.3
2023-02-21 13:01:09,15.8,62.3
2023-02-21 13:21:14,15.8,62.5
2023-02-21 13:41:15,15.8,62.5
2023-02-21 14:01:20,15.8,63.7
2023-02-21 14:21:25,16.0,63.4
2023-02-21 14:41:32,16.1,63.3
2023-02-21 15:01:38,16.4,62.6
2023-02-21 15:21:38,16.4,62.6
2023-02-21 15:41:43,16.6,60.4
2023-02-21 16:01:46,16.7,61.0
2023-02-21 16:21:46,16.7,60.9
2023-02-21 16:41:49,16.8,65.6
2023-02-21 17:01:50,16.8,65.7
2023-02-21 17:21:52,16.5,64.2
2023-02-21 17:42:00,16.5,64.5
2023-02-21 18:02:12,16.5,65.0
2023-02-21 18:22:12,16.5,65.0
2023-02-21 18:42:13,16.5,66.1
2023-02-21 19:02:13,16.6,66.2
2023-02-21 19:22:14,16.6,68.5
2023-02-21 19:42:21,16.8,75.6
2023-02-21 20:02:24,17.0,75.3
2023-02-21 20:22:24,17.0,75.2
2023-02-21 20:42:37,17.5,78.0
2023-02-21 21:02:56,17.6,75.3
2023-02-21 21:22:56,17.6,75.4
2023-02-21 21:43:06,18.0,73.0
2023-02-21 22:03:06,18.0,73.1
2023-02-21 22:23:09,17.9,73.6
2023-02-21 22:43:12,17.9,73.0
2023-02-21 23:03:12,17.9,73.0
2023-02-21 23:23:15,18.0,72.4
2023-02-21 23:43:20,17.8,72.5
